t,X,Y,Z,Vx,Vy,Vz
443.5,2305.5,5708.82,-3229.61,-4.06633,3.8368,4.62605
444.5,2301.43,5712.65,-3224.99,-4.06906,3.83002,4.62988
445.5,2297.36,5716.48,-3220.35,-4.07179,3.82325,4.6337
446.5,2293.29,5720.3,-3215.72,-4.07451,3.81646,4.63752
447.5,2289.21,5724.11,-3211.08,-4.07723,3.80967,4.64133
448.5,2285.13,5727.92,-3206.44,-4.07995,3.80287,4.64514
449.5,2281.05,5731.72,-3201.79,-4.08266,3.79607,4.64895
450.5,2276.97,5735.51,-3197.14,-4.08536,3.78926,4.65275
451.5,2272.88,5739.3,-3192.48,-4.08807,3.78245,4.65654
452.5,2268.79,5743.07,-3187.83,-4.09076,3.77563,4.66033
453.5,2264.7,5746.85,-3183.16,-4.09345,3.76881,4.66411
454.5,2260.61,5750.61,-3178.5,-4.09614,3.76198,4.66789
455.5,2256.51,5754.37,-3173.83,-4.09883,3.75514,4.67166
456.5,2252.41,5758.12,-3169.15,-4.10151,3.7483,4.67543
457.5,2248.31,5761.87,-3164.48,-4.10418,3.74146,4.6792
458.5,2244.2,5765.6,-3159.8,-4.10685,3.73461,4.68296
459.5,2240.09,5769.34,-3155.11,-4.10952,3.72775,4.68671
460.5,2235.98,5773.06,-3150.42,-4.11218,3.72089,4.69046
461.5,2231.87,5776.78,-3145.73,-4.11483,3.71402,4.6942
462.5,2227.75,5780.49,-3141.03,-4.11749,3.70714,4.69794
463.5,2223.63,5784.19,-3136.33,-4.12013,3.70027,4.70168
464.5,2219.51,5787.89,-3131.63,-4.12278,3.69338,4.7054
465.5,2215.39,5791.58,-3126.92,-4.12542,3.68649,4.70913
466.5,2211.26,5795.26,-3122.21,-4.12805,3.6796,4.71285
467.5,2207.13,5798.94,-3117.5,-4.13068,3.6727,4.71656
468.5,2203,5802.61,-3112.78,-4.13331,3.66579,4.72027
469.5,2198.86,5806.27,-3108.06,-4.13593,3.65888,4.72397
470.5,2194.73,5809.92,-3103.33,-4.13854,3.65196,4.72767
471.5,2190.59,5813.57,-3098.6,-4.14115,3.64504,4.73137
472.5,2186.45,5817.22,-3093.87,-4.14376,3.63811,4.73505
473.5,2182.3,5820.85,-3089.13,-4.14636,3.63118,4.73874
474.5,2178.15,5824.48,-3084.39,-4.14896,3.62424,4.74242
475.5,2174,5828.1,-3079.65,-4.15156,3.61729,4.74609
476.5,2169.85,5831.71,-3074.9,-4.15415,3.61034,4.74976
477.5,2165.69,5835.32,-3070.15,-4.15673,3.60339,4.75342
478.5,2161.54,5838.92,-3065.39,-4.15931,3.59643,4.75708
479.5,2157.38,5842.51,-3060.63,-4.16189,3.58946,4.76073
480.5,2153.21,5846.1,-3055.87,-4.16446,3.58249,4.76438
481.5,2149.05,5849.68,-3051.1,-4.16702,3.57551,4.76802
482.5,2144.88,5853.25,-3046.33,-4.16958,3.56853,4.77166
483.5,2140.71,5856.81,-3041.56,-4.17214,3.56154,4.77529
484.5,2136.53,5860.37,-3036.78,-4.17469,3.55455,4.77892
485.5,2132.36,5863.92,-3032,-4.17724,3.54755,4.78255
486.5,2128.18,5867.47,-3027.22,-4.17979,3.54055,4.78616
487.5,2124,5871,-3022.43,-4.18233,3.53354,4.78977
488.5,2119.81,5874.53,-3017.64,-4.18486,3.52652,4.79338
489.5,2115.63,5878.06,-3012.84,-4.18739,3.51951,4.79698
490.5,2111.44,5881.57,-3008.05,-4.18991,3.51248,4.80058
491.5,2107.25,5885.08,-3003.24,-4.19244,3.50545,4.80417
492.5,2103.06,5888.58,-2998.44,-4.19495,3.49841,4.80776
493.5,2098.86,5892.08,-2993.63,-4.19746,3.49137,4.81134
494.5,2094.66,5895.57,-2988.81,-4.19997,3.48433,4.81492
495.5,2090.46,5899.05,-2984,-4.20247,3.47727,4.81849
496.5,2086.26,5902.52,-2979.18,-4.20497,3.47022,4.82205
497.5,2082.05,5905.99,-2974.35,-4.20746,3.46315,4.82561
498.5,2077.84,5909.45,-2969.53,-4.20995,3.45609,4.82917
499.5,2073.63,5912.9,-2964.7,-4.21243,3.44901,4.83272
500.5,2069.42,5916.35,-2959.86,-4.21491,3.44194,4.83627
501.5,2065.2,5919.78,-2955.02,-4.21739,3.43485,4.83981
502.5,2060.98,5923.22,-2950.18,-4.21986,3.42776,4.84334
503.5,2056.76,5926.64,-2945.34,-4.22232,3.42067,4.84687
504.5,2052.54,5930.06,-2940.49,-4.22478,3.41357,4.85039
505.5,2048.31,5933.47,-2935.64,-4.22724,3.40646,4.85391
506.5,2044.08,5936.87,-2930.78,-4.22969,3.39935,4.85743
507.5,2039.85,5940.27,-2925.92,-4.23214,3.39224,4.86094
