Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,ECI-x,ECI-y,ECI-z
2024,8,6,0,0,50.00001043,-42.11725651,90.82877112,664937.2576,3639504.512,3746927.254,-4710055.667
2024,8,6,0,0,51.00000501,-42.08675346,90.89569068,664892.9103,3636584.328,3753230.23,-4707242.714
2024,8,6,0,0,51.99999958,-42.056206,90.96254297,664848.4797,3633659.985,3759528.913,-4704424.362
2024,8,6,0,0,52.99999416,-42.02561421,91.02932804,664803.9658,3630731.486,3765823.297,-4701600.616
2024,8,6,0,0,53.99998873,-41.99497819,91.09604592,664759.3688,3627798.835,3772113.373,-4698771.478
2024,8,6,0,0,54.99998331,-41.96429801,91.16269666,664714.6888,3624862.034,3778399.135,-4695936.951
2024,8,6,0,0,56.00001812,-41.93357377,91.22928012,664669.9257,3621921.087,3784680.575,-4693097.038
2024,8,6,0,0,57.0000127,-41.90280554,91.2957967,664625.0798,3618975.998,3790957.686,-4690251.744
2024,8,6,0,0,58.00000727,-41.87199342,91.36224625,664580.151,3616026.769,3797230.46,-4687401.07
2024,8,6,0,0,59.00000185,-41.84113749,91.42862882,664535.1395,3613073.404,3803498.891,-4684545.021
2024,8,6,0,0,59.99999642,-41.81023784,91.49494446,664490.0453,3610115.906,3809762.971,-4681683.599
2024,8,6,0,1,0.999991,-41.77929454,91.5611932,664444.8686,3607154.279,3816022.693,-4678816.807
2024,8,6,0,1,1.999985576,-41.7483077,91.6273751,664399.6094,3604188.525,3822278.05,-4675944.649
2024,8,6,0,1,2.999980152,-41.71727738,91.69349019,664354.2677,3601218.649,3828529.034,-4673067.127
2024,8,6,0,1,4.000014961,-41.68620369,91.75953836,664308.8438,3598244.653,3834775.639,-4670184.246
2024,8,6,0,1,5.000009537,-41.65508669,91.82551997,664263.3376,3595266.541,3841017.856,-4667296.008
2024,8,6,0,1,6.000004113,-41.62392648,91.89143492,664217.7493,3592284.316,3847255.679,-4664402.416
2024,8,6,0,1,6.999998689,-41.59272315,91.95728324,664172.0789,3589297.981,3853489.101,-4661503.474
2024,8,6,0,1,7.999993265,-41.56147677,92.02306498,664126.3265,3586307.54,3859718.114,-4658599.185
2024,8,6,0,1,8.999987841,-41.53018743,92.08878019,664080.4922,3583312.997,3865942.711,-4655689.552
2024,8,6,0,1,9.999982417,-41.49885522,92.15442892,664034.5761,3580314.354,3872162.886,-4652774.579
2024,8,6,0,1,11.00001723,-41.46748021,92.22001103,663988.5783,3577311.614,3878378.63,-4649854.268
2024,8,6,0,1,12.0000118,-41.43606251,92.28552693,663942.4989,3574304.782,3884589.936,-4646928.623
2024,8,6,0,1,13.00000638,-41.40460218,92.35097648,663896.3378,3571293.86,3890796.798,-4643997.647
2024,8,6,0,1,14.00000095,-41.37309931,92.41635974,663850.0953,3568278.853,3896999.208,-4641061.344
2024,8,6,0,1,14.99999553,-41.341554,92.48167676,663803.7715,3565259.762,3903197.159,-4638119.716
2024,8,6,0,1,15.99999011,-41.30996631,92.54692757,663757.3663,3562236.593,3909390.644,-4635172.768
2024,8,6,0,1,16.99998468,-41.27833634,92.61211224,663710.8799,3559209.347,3915579.656,-4632220.501
2024,8,6,0,1,18.00001949,-41.24666417,92.67723065,663664.3124,3556178.029,3921764.187,-4629262.92
2024,8,6,0,1,19.00001407,-41.21494988,92.74228318,663617.6638,3553142.642,3927944.231,-4626300.028
2024,8,6,0,1,20.00000864,-41.18319356,92.80726971,663570.9343,3550103.189,3934119.78,-4623331.828
2024,8,6,0,1,21.00000322,-41.15139529,92.8721903,663524.1239,3547059.674,3940290.826,-4620358.324
2024,8,6,0,1,21.99999779,-41.11955515,92.937045,663477.2327,3544012.099,3946457.364,-4617379.518
2024,8,6,0,1,22.99999237,-41.08767323,93.00183385,663430.2609,3540960.47,3952619.385,-4614395.414
